"id","name","content_type_id","codename"
"1","Can add log entry","1","add_logentry"
"2","Can change log entry","1","change_logentry"
"3","Can delete log entry","1","delete_logentry"
"4","Can view log entry","1","view_logentry"
"5","Can add permission","2","add_permission"
"6","Can change permission","2","change_permission"
"7","Can delete permission","2","delete_permission"
"8","Can view permission","2","view_permission"
"9","Can add group","3","add_group"
"10","Can change group","3","change_group"
"11","Can delete group","3","delete_group"
"12","Can view group","3","view_group"
"13","Can add user","4","add_user"
"14","Can change user","4","change_user"
"15","Can delete user","4","delete_user"
"16","Can view user","4","view_user"
"17","Can add КП","5","add_offer"
"18","Can change КП","5","change_offer"
"19","Can delete КП","5","delete_offer"
"20","Can view КП","5","view_offer"
"21","Can add content type","6","add_contenttype"
"22","Can change content type","6","change_contenttype"
"23","Can delete content type","6","delete_contenttype"
"24","Can view content type","6","view_contenttype"
"25","Can add session","7","add_session"
"26","Can change session","7","change_session"
"27","Can delete session","7","delete_session"
"28","Can view session","7","view_session"
"29","Can add пользователь","8","add_tguser"
"30","Can change пользователь","8","change_tguser"
"31","Can delete пользователь","8","delete_tguser"
"32","Can view пользователь","8","view_tguser"
"33","Can add Заказчик","9","add_customer_category"
"34","Can change Заказчик","9","change_customer_category"
"35","Can delete Заказчик","9","delete_customer_category"
"36","Can view Заказчик","9","view_customer_category"
"37","Can add Поступления денежных средств","10","add_addprofits"
"38","Can change Поступления денежных средств","10","change_addprofits"
"39","Can delete Поступления денежных средств","10","delete_addprofits"
"40","Can view Поступления денежных средств","10","view_addprofits"
"41","Can add Лиды","11","add_lids"
"42","Can change Лиды","11","change_lids"
"43","Can delete Лиды","11","delete_lids"
"44","Can view Лиды","11","view_lids"
"45","Can add Счёт","12","add_invoice"
"46","Can change Счёт","12","change_invoice"
"47","Can delete Счёт","12","delete_invoice"
"48","Can view Счёт","12","view_invoice"
"49","Can add Клиент дизайн студии","13","add_customers"
"50","Can change Клиент дизайн студии","13","change_customers"
"51","Can delete Клиент дизайн студии","13","delete_customers"
"52","Can view Клиент дизайн студии","13","view_customers"
"53","Can add Заказчик физлицо","14","add_private_person"
"54","Can change Заказчик физлицо","14","change_private_person"
"55","Can delete Заказчик физлицо","14","delete_private_person"
"56","Can view Заказчик физлицо","14","view_private_person"
"57","Can add Организация","15","add_organization"
"58","Can change Организация","15","change_organization"
"59","Can delete Организация","15","delete_organization"
"60","Can view Организация","15","view_organization"
"61","Can add Договор физ.лицо","16","add_privatecontract"
"62","Can change Договор физ.лицо","16","change_privatecontract"
"63","Can delete Договор физ.лицо","16","delete_privatecontract"
"64","Can view Договор физ.лицо","16","view_privatecontract"
"65","Can add Договор с юр.лицом","17","add_contractbase"
"66","Can change Договор с юр.лицом","17","change_contractbase"
"67","Can delete Договор с юр.лицом","17","delete_contractbase"
"68","Can view Договор с юр.лицом","17","view_contractbase"
"69","Can add Настройки telegram бота","18","add_constants"
"70","Can change Настройки telegram бота","18","change_constants"
"71","Can delete Настройки telegram бота","18","delete_constants"
"72","Can view Настройки telegram бота","18","view_constants"
