"id","app","name","applied"
"1","addprofit","0001_initial","2024-2-24 17:17:07.-1f+00"
"2","contenttypes","0001_initial","2024-2-24 17:17:07.-1f+00"
"3","auth","0001_initial","2024-2-24 17:17:07.-1f+00"
"4","admin","0001_initial","2024-2-24 17:17:07.-1f+00"
"5","admin","0002_logentry_remove_auto_add","2024-2-24 17:17:07.-1f+00"
"6","admin","0003_logentry_add_action_flag_choices","2024-2-24 17:17:07.-1f+00"
"7","contenttypes","0002_remove_content_type_name","2024-2-24 17:17:08.-1f+00"
"8","auth","0002_alter_permission_name_max_length","2024-2-24 17:17:08.-1f+00"
"9","auth","0003_alter_user_email_max_length","2024-2-24 17:17:08.-1f+00"
"10","auth","0004_alter_user_username_opts","2024-2-24 17:17:08.-1f+00"
"11","auth","0005_alter_user_last_login_null","2024-2-24 17:17:08.-1f+00"
"12","auth","0006_require_contenttypes_0002","2024-2-24 17:17:08.-1f+00"
"13","auth","0007_alter_validators_add_error_messages","2024-2-24 17:17:08.-1f+00"
"14","auth","0008_alter_user_username_max_length","2024-2-24 17:17:08.-1f+00"
"15","auth","0009_alter_user_last_name_max_length","2024-2-24 17:17:08.-1f+00"
"16","auth","0010_alter_group_name_max_length","2024-2-24 17:17:08.-1f+00"
"17","auth","0011_update_proxy_permissions","2024-2-24 17:17:09.-1f+00"
"18","auth","0012_alter_user_first_name_max_length","2024-2-24 17:17:09.-1f+00"
"19","make_contract_base","0001_initial","2024-2-24 17:17:09.-1f+00"
"20","sessions","0001_initial","2024-2-24 17:17:09.-1f+00"
